chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
22	8	0.8055	0.8036	0.0866	0.9125	0.9096	0.0438	0.93	0.9289	0.0331
22	9	0.8005	0.7835	0.0968	0.91	0.9041	0.0419	0.92	0.9172	0.0355
23	10	0.627	0.6389	0.0913	0.838	0.8357	0.0514	0.862	0.8600	0.0385
23	11	0.586	0.5929	0.1218	0.818	0.8110	0.0702	0.831	0.8243	0.0602
23	1	0.916	0.9138	0.0560	0.962	0.9617	0.0233	0.962	0.9560	0.0338
23	2	0.833	0.8321	0.0841	0.924	0.9255	0.0364	0.941	0.9377	0.0304
23	3	0.768	0.7734	0.0846	0.896	0.8948	0.0415	0.9175	0.9153	0.0320
23	4	0.797	0.7933	0.1034	0.903	0.9049	0.0489	0.917	0.9177	0.0378
23	5	0.814	0.8101	0.1076	0.908	0.9097	0.0487	0.9345	0.9326	0.0418
23	6	0.832	0.8223	0.0933	0.915	0.9173	0.0437	0.936	0.9329	0.0328
23	7	0.7985	0.8066	0.1305	0.9205	0.9148	0.0573	0.9305	0.9298	0.0423
23	8	0.8225	0.8051	0.1210	0.9125	0.9062	0.0574	0.9295	0.9252	0.0462
23	9	0.6865	0.6884	0.0917	0.8595	0.8575	0.0522	0.891	0.8829	0.0458
24	10	0.481	0.4976	0.1882	0.764	0.7572	0.1035	0.7355	0.7540	0.1001
24	1	0.95	0.9409	0.0477	0.982	0.9762	0.0206	0.983	0.9695	0.0310
24	2	0.886	0.8786	0.0767	0.946	0.9429	0.0366	0.959	0.9555	0.0264
24	3	0.806	0.7956	0.0799	0.905	0.9047	0.0371	0.928	0.9250	0.0305
24	4	0.7865	0.7897	0.1047	0.903	0.9051	0.0460	0.9225	0.9264	0.0319
24	5	0.842	0.8257	0.1072	0.928	0.9179	0.0549	0.931	0.9238	0.0560
24	6	0.793	0.8028	0.0986	0.908	0.9108	0.0487	0.922	0.9238	0.0372
24	7	0.768	0.7542	0.1078	0.882	0.8803	0.0560	0.903	0.8970	0.0447
24	8	0.6295	0.6241	0.1245	0.822	0.8228	0.0601	0.844	0.8410	0.0498
24	9	0.5885	0.5975	0.1347	0.814	0.8111	0.0734	0.8295	0.8246	0.0711
25	10	0.665	0.6723	0.1905	0.849	0.8448	0.0963	0.853	0.8541	0.0853
