chrom	chunk	r2_med	r2_avg	r2_std	con_med	con_avg	con_std	inf_med	inf_avg	inf_std
6	1	0.969	0.9530	0.0446	0.985	0.9789	0.0205	0.984	0.9769	0.0237
6	2	0.8725	0.8386	0.1310	0.946	0.9270	0.0626	0.945	0.9331	0.0520
6	3	0.831	0.8112	0.1176	0.924	0.9180	0.0486	0.9325	0.9201	0.0548
6	4	0.6565	0.6811	0.1305	0.863	0.8529	0.0683	0.869	0.8690	0.0513
6	5	0.758	0.7571	0.1079	0.882	0.8882	0.0553	0.899	0.9008	0.0428
6	6	0.817	0.8149	0.0992	0.907	0.9081	0.0556	0.9265	0.9229	0.0406
6	7	0.872	0.8613	0.0843	0.9395	0.9339	0.0412	0.958	0.9488	0.0334
6	8	0.811	0.8111	0.1030	0.9225	0.9173	0.0482	0.9215	0.9222	0.0382
6	9	0.8205	0.8122	0.1218	0.926	0.9192	0.0593	0.9345	0.9200	0.0577
7	10	0.809	0.8247	0.1234	0.918	0.9244	0.0486	0.936	0.9386	0.0395
7	11	0.801	0.7954	0.0958	0.912	0.9100	0.0408	0.924	0.9239	0.0341
7	12	0.775	0.7689	0.1199	0.91	0.8984	0.0590	0.9175	0.9101	0.0485
7	13	0.756	0.7578	0.0990	0.8845	0.8885	0.0442	0.918	0.9102	0.0391
7	14	0.7245	0.7406	0.1082	0.8755	0.8803	0.0551	0.886	0.8899	0.0435
7	15	0.766	0.7771	0.0992	0.899	0.8976	0.0506	0.9025	0.9051	0.0389
7	16	0.713	0.7246	0.1139	0.87	0.8737	0.0557	0.888	0.8896	0.0457
7	17	0.699	0.7172	0.1514	0.861	0.8620	0.0805	0.887	0.8862	0.0625
7	1	0.923	0.9134	0.0705	0.964	0.9594	0.0316	0.970	0.9608	0.0335
7	2	0.793	0.7984	0.0936	0.905	0.9051	0.0466	0.933	0.9331	0.0310
7	3	0.756	0.7613	0.1125	0.889	0.8874	0.0535	0.905	0.9040	0.0427
7	4	0.777	0.7768	0.0923	0.889	0.8922	0.0469	0.9245	0.9197	0.0363
7	5	0.800	0.7951	0.1018	0.909	0.9049	0.0481	0.929	0.9274	0.0348
7	6	0.7885	0.7925	0.0987	0.909	0.9026	0.0476	0.918	0.9118	0.0458
7	7	0.8425	0.8310	0.0888	0.915	0.9191	0.0391	0.936	0.9343	0.0339
7	8	0.862	0.8465	0.0933	0.934	0.9289	0.0453	0.941	0.9390	0.0353
7	9	0.8075	0.7939	0.1126	0.919	0.9090	0.0584	0.9175	0.9057	0.0527
8	10	0.826	0.8231	0.0942	0.923	0.9148	0.0498	0.935	0.9327	0.0353
8	11	0.776	0.7760	0.1204	0.902	0.9008	0.0540	0.920	0.9159	0.0458
8	12	0.762	0.7489	0.0950	0.890	0.8893	0.0402	0.909	0.9063	0.0347
8	13	0.6725	0.6817	0.1209	0.8545	0.8526	0.0625	0.8765	0.8772	0.0485
8	14	0.622	0.6464	0.1392	0.835	0.8344	0.0733	0.838	0.8453	0.0607
8	15	0.721	0.6827	0.1583	0.8755	0.8510	0.0843	0.8885	0.8641	0.0763
8	16	0.8155	0.7159	0.2366	0.91	0.8766	0.1061	0.832	0.7999	0.1539
8	1	0.930	0.9151	0.0751	0.973	0.9649	0.0254	0.968	0.9579	0.0354
8	2	0.84	0.8352	0.0904	0.927	0.9207	0.0442	0.938	0.9363	0.0337
8	3	0.789	0.7943	0.1101	0.906	0.9049	0.0514	0.921	0.9157	0.0456
8	4	0.8115	0.7980	0.1053	0.917	0.9079	0.0542	0.9245	0.9171	0.0449
8	5	0.8135	0.8114	0.0939	0.913	0.9128	0.0417	0.932	0.9302	0.0336
8	6	0.820	0.8143	0.0948	0.912	0.9124	0.0425	0.933	0.9277	0.0372
8	7	0.8105	0.8202	0.0941	0.923	0.9209	0.0420	0.937	0.9370	0.0340
8	8	0.842	0.8413	0.0792	0.927	0.9279	0.0358	0.948	0.9456	0.0279
8	9	0.855	0.8487	0.1046	0.937	0.9333	0.0467	0.956	0.9486	0.0355
9	10	0.820	0.8130	0.1276	0.919	0.9143	0.0592	0.921	0.9214	0.0531
9	11	0.623	0.6356	0.2308	0.840	0.8343	0.1218	0.854	0.8380	0.1112
9	12	0.6535	0.6699	0.1690	0.8425	0.8445	0.0834	0.855	0.8587	0.0662
9	13	0.580	0.6377	0.2166	0.825	0.8283	0.1123	0.804	0.8221	0.1073
9	1	0.874	0.8497	0.1318	0.940	0.9244	0.0718	0.944	0.9077	0.0891
9	2	0.633	0.6207	0.1687	0.824	0.8209	0.0883	0.833	0.8326	0.0763
9	3	0.7755	0.7533	0.1657	0.894	0.8872	0.0731	0.923	0.9103	0.0724
9	4	0.848	0.8548	0.1036	0.929	0.9321	0.0495	0.939	0.9327	0.0531
9	5	0.817	0.7995	0.1244	0.914	0.9051	0.0584	0.922	0.9090	0.0541
9	6	0.762	0.7410	0.1368	0.893	0.8854	0.0606	0.9105	0.8894	0.0670
9	7	0.743	0.7391	0.1099	0.866	0.8746	0.0569	0.8985	0.8910	0.0491
9	8	0.853	0.8312	0.1157	0.931	0.9199	0.0591	0.931	0.9243	0.0524
9	9	0.743	0.7443	0.1175	0.880	0.8818	0.0583	0.907	0.9071	0.0427
9	TOTAL	0.779	0.7679	0.1392	0.899	0.8920	0.0681	0.914	0.9048	0.0608
